                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.191,                0.95731,                 1.3398,                0.84167,                 0.8958,                0.89524,                0.61458,                 1.0649,                0.88682,                 1.1987,             0.00045639,             0.00045639,             0.00045639
                     46,                 1.1971,                0.96846,                 1.3458,                0.83275,                0.91174,                0.90138,                0.61285,                 1.0579,                0.88168,                 1.2139,             0.00043428,             0.00043428,             0.00043428
                     47,                 1.2051,                0.96771,                 1.3648,                0.82245,                0.91255,                0.90121,                0.61099,                 1.0596,                0.85324,                 1.1992,             0.00041218,             0.00041218,             0.00041218
                     48,                 1.1837,                0.93449,                 1.3272,                0.79262,                0.90876,                 0.8898,                0.61118,                 1.0858,                0.90006,                 1.2299,             0.00039007,             0.00039007,             0.00039007
                     49,                 1.1902,                0.96589,                  1.335,                0.82809,                0.91587,                0.90222,                0.61969,                 1.0737,                0.84049,                 1.1815,             0.00036797,             0.00036797,             0.00036797
                     50,                 1.1778,                0.93532,                 1.3194,                0.81502,                 0.9044,                0.89703,                 0.6005,                 1.0577,                0.85499,                 1.2029,             0.00034586,             0.00034586,             0.00034586
                     51,                  1.169,                0.92583,                 1.3097,                0.79854,                0.91862,                0.89358,                0.58724,                 1.0661,                0.83954,                 1.1881,             0.00032376,             0.00032376,             0.00032376
                     52,                 1.1587,                0.91132,                 1.2978,                0.83773,                0.89047,                0.89956,                0.59754,                 1.0781,                0.82816,                 1.1783,             0.00030165,             0.00030165,             0.00030165
                     53,                   1.16,                0.92447,                 1.3061,                0.80866,                0.90365,                0.89345,                0.60846,                 1.0678,                0.81675,                 1.1801,             0.00027955,             0.00027955,             0.00027955
                     54,                 1.1886,                0.95148,                 1.3333,                 0.8093,                0.91062,                0.89165,                0.61296,                 1.0658,                0.82708,                 1.1686,             0.00025744,             0.00025744,             0.00025744
                     55,                 1.0614,                 1.4593,                 1.2098,                0.82917,                0.88405,                0.88082,                 0.5878,                 1.0797,                0.98077,                 1.1476,             0.00023534,             0.00023534,             0.00023534
                     56,                 1.0246,                 1.1642,                  1.178,                0.79807,                0.88295,                0.87953,                0.57966,                 1.1163,                0.90624,                 1.1652,             0.00021323,             0.00021323,             0.00021323
                     57,                 1.0259,                 1.0309,                   1.19,                0.78684,                0.87991,                0.87926,                0.57469,                  1.114,                0.87831,                 1.1672,             0.00019113,             0.00019113,             0.00019113
                     58,                 1.0076,                 0.9606,                 1.1684,                0.81775,                0.88405,                0.88739,                0.59654,                 1.0811,                0.87167,                 1.1561,             0.00016902,             0.00016902,             0.00016902
                     59,                0.99568,                0.89401,                 1.1405,                0.80736,                0.91064,                0.89224,                0.61136,                 1.0728,                0.88412,                 1.1564,             0.00014692,             0.00014692,             0.00014692
                     60,                  1.003,                0.87981,                 1.1547,                0.80853,                0.91152,                 0.8954,                0.61319,                 1.0772,                0.86804,                 1.1636,             0.00012481,             0.00012481,             0.00012481
                     61,                 1.0024,                0.84471,                 1.1384,                0.80928,                0.91909,                0.90086,                0.62165,                 1.0593,                0.85915,                 1.1503,             0.00010271,             0.00010271,             0.00010271
                     62,                 1.0074,                0.87258,                 1.1564,                0.80898,                0.91175,                 0.9031,                0.62528,                 1.0481,                0.85759,                  1.145,             8.0605e-05,             8.0605e-05,             8.0605e-05
                     63,                0.97154,                0.83258,                 1.1325,                0.82468,                 0.9057,                0.90636,                0.63176,                 1.0416,                0.83858,                 1.1386,               5.85e-05,               5.85e-05,               5.85e-05
                     64,                0.97187,                0.82007,                 1.1379,                0.82541,                0.90624,                0.90787,                0.63344,                 1.0386,                0.82669,                 1.1364,             3.6395e-05,             3.6395e-05,             3.6395e-05
